id,nombre,programa,fuente,anios,definicion,metodo_calculo,unidad_medida,nivel,notas,ultima_actualizacion
porcentaje-de-acciones-de-inspeccion-y-verificacion-realizad-g005-2025,"Porcentaje de acciones de Inspección y verificación realizadas sobre la cuales la PROFEPA tiene competencia como autoridad, conforme a las prioridades de la estrategia establecida en materia de inspec",G005,MIR_2025_FinalPúblico.xlsx - MIR25,"[2025, 2026]",,(Numerador / Denominador) × 100. Meta: 3500.0 / 3500.0,Porcentaje,Actividad,Oficina: Subprocuraduría de Inspección Industrial,2026-03-31
porcentaje-de-revision-de-mercancias-cuya-importacion-expor-g005-2025,"Porcentaje de revisión de mercancías cuya importación, exportación y reexportación está sujeta a regulación por parte de la Secretaría de Medio Ambiente y Recursos Naturales",G005,MIR_2025_FinalPúblico.xlsx - MIR25,"[2025, 2026]",,(Numerador / Denominador) × 100. Meta: 99.0 / 100.0,Porcentaje,Actividad,Oficina: Subprocuraduría de Inspección Industrial,2026-03-31
sii-06-simulacros-para-evaluar-los-planes-de-re-g005-2025,Simulacros para evaluar los Planes de Respuesta a emergencias químicas,G005,POA_2025_FinalPúblico.xlsx - Avance,"[2025, 2026]",,,,Actividad,ID interno: SII.06,2026-03-31
sj-06-numero-de-denuncias-y-querellas-presenta-g005-2025,Número de denuncias y querellas presentadas por la Procuraduría,G005,POA_2025_FinalPúblico.xlsx - Avance,"[2025, 2026]",,,,Actividad,ID interno: SJ.06,2026-03-31
sj-07-porcentaje-de-sentencias-favorables-not-g005-2025,Porcentaje de sentencias  favorables notificadas por el Tribunal Federal de Justicia Administrativa,G005,POA_2025_FinalPúblico.xlsx - Avance,"[2025, 2026]",,,,Actividad,ID interno: SJ.07,2026-03-31
spa-06-porcentaje-de-empresas-e-instituciones-q-g005-2026,Porcentaje de empresas e instituciones que participaron en eventos de capacitación en materia de prevención ambiental,G005,POA_2026_feb.xlsx - POA_2026,[2026],,,,Actividad,ID interno: SPA.06,2026-03-31
sivi-07-porcentaje-de-solicitudes-de-aprobacione-g005-2026,"Porcentaje de solicitudes de aprobaciones para los laboratorios de pruebas y/o ensayo, unidades de verificación y organismos de certificación",G005,POA_2026_feb.xlsx - POA_2026,[2026],,,,Actividad,ID interno: SIVI.07,2026-03-31
sivi-08-porcentaje-de-revisiones-evaluaciones-y-g005-2026,"Porcentaje de revisiones, evaluaciones y, en su caso, certificación de vehículos nuevos en planta",G005,POA_2026_feb.xlsx - POA_2026,[2026],,,,Actividad,ID interno: SIVI.08,2026-03-31
sleja-04-acciones-de-difusion-para-la-promocion-y-g005-2026,Acciones de difusión para la promoción y participación ciudadana en el cuidado del medio ambiente a través de Jornadas Estudiantiles,G005,POA_2026_feb.xlsx - POA_2026,[2026],,,,Actividad,ID interno: SLEJA.04,2026-03-31
corpa-03-porcentaje-de-resoluciones-con-reparacio-g005-2026,Porcentaje de resoluciones con reparación del daño como medida de aplicación,G005,POA_2026_feb.xlsx - POA_2026,[2026],,,,Actividad,ID interno: CORPA.03,2026-03-31
